Question,# of respondents ,parent_code_id,# of parent code,% of total interviewees,Parent_code_name,Parent_code_definition,subcode_number,subcode_name,subcode_definition,# subcode respondents ,% of  subcode per parent code respondents,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC2,38,95.00%,Risky Group Dynamics,safety issues that arise from the interpersonal relationships and shared energy within a small group. These concerns go beyond the facilitator and focus on the ways participants can unintentionally harm or destabilize one another,4,Lack of Inclusivity and Awareness,different processing styles—particularly those of neurodivergent individuals—can be misunderstood or mishandled,1,2.63%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC2,38,95.00%,Risky Group Dynamics,safety issues that arise from the interpersonal relationships and shared energy within a small group. These concerns go beyond the facilitator and focus on the ways participants can unintentionally harm or destabilize one another,5,Lack of Mutual Support,Group members not adequately supporting one another during difficult moments,31,81.58%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC3,36,90.00%,Structure & Container Quality,How well the group space is organized and held,1,Lack of Clear Agreements & Boundaries,"Entering sessions without discussing ground rules, intentions, or expectations",9,25.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC3,36,90.00%,Structure & Container Quality,How well the group space is organized and held,2,Unsafe or Absent Container,"No clear structure for safety, leaving participants unsure how to seek help",31,86.11%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC3,36,90.00%,Structure & Container Quality,How well the group space is organized and held,3,Lack of Debrief or Integration,No structured follow-up discussion to process the experience,18,50.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC3,36,90.00%,Structure & Container Quality,How well the group space is organized and held,4,Role Confusion,No one designated as a sober sitter or safety lead,9,25.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC4,34,85.00%,Safety & Risk Management,Practical safety concerns specific to small-group settings.,1,Facilitator-to-Participant Ratio,"Too few facilitators relative to group size, leaving crises unmanageable",11,32.35%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC4,34,85.00%,Safety & Risk Management,Practical safety concerns specific to small-group settings.,2,Lack of Emergency Preparedness,"No medical support, emergency plan, or knowledge of what to do in crisis",19,55.88%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC4,34,85.00%,Safety & Risk Management,Practical safety concerns specific to small-group settings.,3,Legal & Law Enforcement Risks,"Raids, illegality of substances, or fear of practicing openly",22,64.71%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC4,34,85.00%,Safety & Risk Management,Practical safety concerns specific to small-group settings.,4,Risky Settings & Separation,Safety concerns when groups meet in public or uncontrolled spaces,21,61.76%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC5,36,90.00%,Substance & Dosing Challenges,Issues related to how psychedelics are consumed in groups,1,Uneven or Excessive Dosing,participants taking doses too strong for the setting,21,58.33%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC5,36,90.00%,Substance & Dosing Challenges,Issues related to how psychedelics are consumed in groups,2,Lack of Testing & Purity Concerns,Substances not tested or of unknown potency,28,77.78%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC5,36,90.00%,Substance & Dosing Challenges,Issues related to how psychedelics are consumed in groups,3,Mixing Substances,Combining psychedelics with other drugs or alcohol in ways that create risk,12,33.33%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC6,13,32.50%,Neurodivergent & Individual Differences,Safety issues tied to diverse needs in small groups.,1,Miscommunication & Misinterpretation,"Neurodivergent communication styles misunderstood, causing conflict",1,7.69%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC6,13,32.50%,Neurodivergent & Individual Differences,Safety issues tied to diverse needs in small groups.,2,Sensory Overload,"Differences in tolerance to noise, light, or group energy leading to overwhelm",6,46.15%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC6,13,32.50%,Neurodivergent & Individual Differences,Safety issues tied to diverse needs in small groups.,3,Role Confusion for Neurodivergent Members,"No consistent or neutral support figure, leaving participants unsupported",9,69.23%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,39,Q18_PC6,13,32.50%,Neurodivergent & Individual Differences,Safety issues tied to diverse needs in small groups.,4,Different Integration Needs,Neurodivergent participants requiring different processing timelines,1,7.69%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC1,3,60.00%,Group Dynamics & Emotional Contagion,"Risks arising from interpersonal energy, emotions, and shared states",1,Absorbing Others’ Energy/Issues,"Participants internalize or take on others’ struggles, which destabilizes their own experience",2,66.67%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC1,3,60.00%,Group Dynamics & Emotional Contagion,"Risks arising from interpersonal energy, emotions, and shared states",2,Mismatch in Desired Experience,Difficulty when group members want different things or are on very different “wavelengths.”,1,33.33%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC2,1,20.00%,Peer Pressure & Social Pressures,Ways social influence affects individual decision-making.,1,Pressure to Dose Higher or Differently,"Feeling compelled to take more, or in ways one isn’t comfortable with, to fit in",1,100%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC2,1,20.00%,Peer Pressure & Social Pressures,Ways social influence affects individual decision-making.,2,Pressure to Conform Behaviorally,Stress around conforming to group norms for how to act during the trip.,1,100%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC3,4,80.00%,Facilitation & Structure Gaps,"Risks due to lack of organization, guidance, or safety structures in groups",1,Lack of Clear Leadership/Guidance,"No designated person to help with safety, leading to confusion if someone struggles",2,50.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC3,4,80.00%,Facilitation & Structure Gaps,"Risks due to lack of organization, guidance, or safety structures in groups",2,Lack of Boundaries or Communication,"Poor communication about intentions, expectations, or safe group norms",2,50.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC3,4,80.00%,Facilitation & Structure Gaps,"Risks due to lack of organization, guidance, or safety structures in groups",3,Distractions & Overstimulation,"Group noise, talking, or loud music interfering with participants’ internal processes",2,50.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC4,4,80.00%,Substance Risks in Groups,Challenges related to how drugs are shared and consumed collectively.,1,Miscommunication About Dosage,Unclear or inconsistent information leading to overdoses or unintentional combinations,3,75.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC4,4,80.00%,Substance Risks in Groups,Challenges related to how drugs are shared and consumed collectively.,2,Use of Unregulated Products,Consumption of poorly regulated “head shop” psychedelics with unknown safety,3,75.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC5,5,100.00%,Isolation & Lack of External Support,"Risks tied to marginalization, stigma, or inability to seek help.",1,Fear of Persecution,Participants unwilling to seek outside help due to criminalization or stigma.,3,60.00%,,,,,,,
What are the most significant psychedelic safety issues your community experiences in* small groups?*,5,Q18_SSDP_PC5,5,100.00%,Isolation & Lack of External Support,"Risks tied to marginalization, stigma, or inability to seek help.",2,Lack of External Aid,No reliable authority or emergency system participants feel they can safely turn to.,4,80.00%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC1,38,95.00%,Unqualified or Unethical Facilitators,"Risks stemming from inadequate preparation, experience, or skill of facilitators",1,Lack of Training and Experience,"Facilitators lacking clinical, trauma-informed, or hands-on training",33,86.84%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC1,38,95.00%,Unqualified or Unethical Facilitators,"Risks stemming from inadequate preparation, experience, or skill of facilitators",2,Poor Crisis Management,"Failure to recognize or appropriately respond to emergencies (psychosis, heart conditions, dehydration)",17,44.74%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC1,38,95.00%,Unqualified or Unethical Facilitators,"Risks stemming from inadequate preparation, experience, or skill of facilitators",3,Overstepping Knowledge or Scope,"Administering unsafe doses, novel drug combinations, or progressing from casual to professional too quickly",19,50.00%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC1,38,95.00%,Unqualified or Unethical Facilitators,"Risks stemming from inadequate preparation, experience, or skill of facilitators",4,Facilitators Working from Their Own Trauma,"Leaders projecting unresolved issues, bias, or ego into sessions.",18,47.37%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC1,38,95.00%,Unqualified or Unethical Facilitators,"Risks stemming from inadequate preparation, experience, or skill of facilitators",5,Inadequate Participant Screening,"risk of a facilitator not properly assessing a participant's needs or medical history during intake. This can lead to participants with underlying psychological issues (e.g., family history of psychosis, complex trauma) being put in a high-risk situation",14,36.84%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC2,33,82.50%,"Power, Integrity & Abuse of Authority",Concerns about the misuse of power and facilitator ethics,1,Abuse & Boundary Violations,"Sexual misconduct, inappropriate touch, or blurred professional boundaries",23,69.70%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC2,33,82.50%,"Power, Integrity & Abuse of Authority",Concerns about the misuse of power and facilitator ethics,2,Manipulation & Guru Dynamics,"Facilitators imposing spiritual narratives, playing guru, or seeking status and followers",18,54.55%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC2,33,82.50%,"Power, Integrity & Abuse of Authority",Concerns about the misuse of power and facilitator ethics,3,Exploitation for Profit or Influence,"Facilitators motivated by money, prestige, or using organizations to gain clients",12,36.36%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC2,33,82.50%,"Power, Integrity & Abuse of Authority",Concerns about the misuse of power and facilitator ethics,4,Bias & Over-Interpretation,Facilitators imposing their own interpretations or spiritual frameworks onto participants,10,30.30%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC3,37,92.50%,"Trust, Vetting & Accountability",Challenges in assessing facilitator trustworthiness and ensuring accountability,1,Lack of Vetting & Transparency,No independent body or system to evaluate facilitators’ ethics and qualifications,20,54.05%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC3,37,92.50%,"Trust, Vetting & Accountability",Challenges in assessing facilitator trustworthiness and ensuring accountability,2,Fear of Reporting in Criminalized Systems,Abuse or misconduct hidden because facilitated contexts are underground,11,29.73%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC3,37,92.50%,"Trust, Vetting & Accountability",Challenges in assessing facilitator trustworthiness and ensuring accountability,3,Trust Establishment Challenges,Difficulty knowing how to assess facilitators before engaging,34,91.89%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC3,37,92.50%,"Trust, Vetting & Accountability",Challenges in assessing facilitator trustworthiness and ensuring accountability,4,Cost & Accessibility Barriers,"High or inconsistent costs impacting who people can access, sometimes linked to poor quality",8,21.62%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC4,29,72.50%,Participant Vulnerabilities,Individual needs and risks amplified in facilitated contexts,1,Increased Participant Susceptibility/Suggestibility,"Concerns that participants, in their vulnerable psychedelic state, are more susceptible to external influence and suggestion",25,86.21%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC4,29,72.50%,Participant Vulnerabilities,Individual needs and risks amplified in facilitated contexts,2,Neurodivergent Misunderstanding,"Misinterpreting autistic traits, meltdowns, or shutdowns as resistance or psychosis.",1,3.45%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC4,29,72.50%,Participant Vulnerabilities,Individual needs and risks amplified in facilitated contexts,3,Trauma Reactivation,Past trauma surfacing without trauma-informed support.,10,34.48%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC4,29,72.50%,Participant Vulnerabilities,Individual needs and risks amplified in facilitated contexts,4,Communication Barriers,Participants struggling to articulate distress during altered states.,6,20.69%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC5,39,97.50%,Structural & Systemic Issues,Broader systemic barriers affecting safety in facilitated contexts,1,Criminalization & Legal Risks,Underground contexts leading to fear of prosecution or exposure in emergencies,22,56.41%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC5,39,97.50%,Structural & Systemic Issues,Broader systemic barriers affecting safety in facilitated contexts,2,Lack of Standards or Oversight,"No universally accepted ethics, protocols, or governing bodies",35,89.74%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC5,39,97.50%,Structural & Systemic Issues,Broader systemic barriers affecting safety in facilitated contexts,3,Institutional Shortcomings in Clinical Models,"Overly rigid, minimal, or cost-driven approaches in licensed/clinical contexts.",5,12.82%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC6,39,97.50%,"Screening, Preparation & Integration Gaps","Risks related to participant readiness, assessment, and aftercare",1,Lack of Comprehensive Screening,"Inadequate intake for trauma, family history, medications, or neurodivergence",12,30.77%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC6,39,97.50%,"Screening, Preparation & Integration Gaps","Risks related to participant readiness, assessment, and aftercare",2,Insufficient Preparation/Pre-Session Support,"Poor orientation or education before sessions, leaving participants unprepared.",35,89.74%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC6,39,97.50%,"Screening, Preparation & Integration Gaps","Risks related to participant readiness, assessment, and aftercare",3,Absence of Integration/Post-Session Support,Lack of follow-up or abandonment when difficulties arise,31,79.49%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC6,39,97.50%,"Screening, Preparation & Integration Gaps","Risks related to participant readiness, assessment, and aftercare",4,Rigid or Inflexible Protocols,One-size-fits-all structures that don’t adapt to individual or neurodivergent needs,4,10.26%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC7,37,92.50%,Safety of the Medicine & Environment,Risks tied to substances used and the spaces where facilitation occurs,1,Lack of Drug Checking & Purity Concerns,"No testing for adulteration or assurance of safe, known compounds.",27,72.97%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC7,37,92.50%,Safety of the Medicine & Environment,Risks tied to substances used and the spaces where facilitation occurs,2,Unsafe Dosing Practices,"Excessive or inappropriate dosing, especially for first-timers",25,67.57%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC7,37,92.50%,Safety of the Medicine & Environment,Risks tied to substances used and the spaces where facilitation occurs,3,Poorly Held Containers & Inadequate Support Ratio,"Unsafe ceremony spaces, understaffing, or absence of sober sitters.",33,89.19%,,,,,,,
What are the most pressing psychedelic safety issues your community experiences in* facilitated contexts?*,40,Q19_PC7,37,92.50%,Safety of the Medicine & Environment,Risks tied to substances used and the spaces where facilitation occurs,4,Unsafe Mixing of Medicines,Combining substances without awareness of risks.,14,37.84%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC1,21,52.50%,Cultural Integrity and Appropriation,"ethical concerns surrounding the use of indigenous, traditional, and spiritual practices outside of their original cultural context",1,False Lineage and Impersonation,"Concerns about self-appointed ""shamans"" and ""gurus"" who claim a lineage, authority, or spiritual background they do not possess",11,52.38%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC1,21,52.50%,Cultural Integrity and Appropriation,"ethical concerns surrounding the use of indigenous, traditional, and spiritual practices outside of their original cultural context",2,Appropriation & Commodification ,Sacred traditions used for profit or stripped from cultural context; extractive or hodgepodge practices.,16,76.19%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC1,21,52.50%,Cultural Integrity and Appropriation,"ethical concerns surrounding the use of indigenous, traditional, and spiritual practices outside of their original cultural context",3,Erosion of Indigenous Practices,"Pressures of commercialization, tourism, and poverty disrupting traditional communities and ecosystems",3,14.29%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC2,34,85.00%,"Abuse, Exploitation, and Opportunism","harms arising from the misuse of spiritual authority, manipulation of participants, financial exploitation, or fraudulent claims of legitimacy",1,Spiritual Gaslighting & Bypassing,"Use of spiritual authority to dismiss concerns, invalidate participants, or excuse harmful practices",9,26.47%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC2,34,85.00%,"Abuse, Exploitation, and Opportunism","harms arising from the misuse of spiritual authority, manipulation of participants, financial exploitation, or fraudulent claims of legitimacy",2,Sexual & Physical Abuse,"Exploitative or abusive practices within ceremonies, including non-consensual touch",18,52.94%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC2,34,85.00%,"Abuse, Exploitation, and Opportunism","harms arising from the misuse of spiritual authority, manipulation of participants, financial exploitation, or fraudulent claims of legitimacy",3,Cult-like or Charismatic Authority,"Leaders demanding devotion, portraying themselves as uniquely gifted, or discouraging critical thought",15,44.12%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC2,34,85.00%,"Abuse, Exploitation, and Opportunism","harms arising from the misuse of spiritual authority, manipulation of participants, financial exploitation, or fraudulent claims of legitimacy",4,Exploitation for Profit,Shamans or facilitators financially exploiting participants or charging inflated prices,13,38.24%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC2,34,85.00%,"Abuse, Exploitation, and Opportunism","harms arising from the misuse of spiritual authority, manipulation of participants, financial exploitation, or fraudulent claims of legitimacy",5,"Fraud, & Hazardous Products","Groups or individuals marketing unsafe substances, experimental products, or false promises.",22,64.71%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC3,40,100.00%,Safety Protocols and Preparation,"Deficiencies in medical, psychological, and practical safeguards during ceremonies",1,Inadequate Screening & Medical Awareness,"Poor or absent screening for contraindications, trauma, or psychological vulnerabilities; lack of first aid readiness",20,50.00%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC3,40,100.00%,Safety Protocols and Preparation,"Deficiencies in medical, psychological, and practical safeguards during ceremonies",2,Overdosing & Unsafe Administration,Giving participants excessively high doses without proper knowledge or caution,23,57.50%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC3,40,100.00%,Safety Protocols and Preparation,"Deficiencies in medical, psychological, and practical safeguards during ceremonies",3,Insufficient Preparation & Integration,"Participants entering ceremonies without proper preparation, information, or guidance",37,92.50%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC3,40,100.00%,Safety Protocols and Preparation,"Deficiencies in medical, psychological, and practical safeguards during ceremonies",4,Integration Gaps Post-Ceremony,"Limited or absent post-session support for processing, mental health follow-up, or trauma-informed integration",27,67.50%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC4,33,82.50%,Neurodivergence & Trauma Sensitivity,Safety challenges when traditional practices are not adapted for neurodivergent or trauma-affected participants.,1,Sensory Overload,"Ritual elements (chanting, drumming, incense, darkness) overwhelming to those with heightened sensitivities",2,6.06%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC4,33,82.50%,Neurodivergence & Trauma Sensitivity,Safety challenges when traditional practices are not adapted for neurodivergent or trauma-affected participants.,2,Trauma Reactivation,Risk of retraumatization when traditional frameworks lack trauma-informed approaches,18,54.55%,,,,,,,
"What are the most pressing psychedelic safety issues your community experiences in a* traditional, indigenous, or spiritual context?*",40,Q20_PC4,33,82.50%,Neurodivergence & Trauma Sensitivity,Safety challenges when traditional practices are not adapted for neurodivergent or trauma-affected participants.,3,Consent & Boundary Difficulties,Power hierarchies limiting participants’ ability to voice discomfort or set boundaries,27,81.82%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC1,40,100.00%,Digital Resources,"all online, digital, and print materials that serve as a source of information",1,Harm Reduction Websites,"Websites and databases providing details on substances, dosage, and safety",31,77.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC1,40,100.00%,Digital Resources,"all online, digital, and print materials that serve as a source of information",2,Discussion Forums & Social Media,The use of social media and forums as a source for shared knowledge and discussion,19,47.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC1,40,100.00%,Digital Resources,"all online, digital, and print materials that serve as a source of information",3,Contemporary Media Channels,"Podcasts, newsletters, documentaries, mailing lists",15,37.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC1,40,100.00%,Digital Resources,"all online, digital, and print materials that serve as a source of information",4,Crowdsourced Wikis & Self-Maintained Databases,"Local wikis, personal websites, community-maintained databases",16,40.00%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC2,40,100.00%,Professional and Academic Sources,"use of information from formal, evidence-based, and institutional sources. It reflects a reliance on research and licensed expertise",1,Research Organizations and Academic Institutions,"Information derived from formal research institutions, universities, and professional organizations that conduct clinical studies and publish papers",19,47.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC2,40,100.00%,Professional and Academic Sources,"use of information from formal, evidence-based, and institutional sources. It reflects a reliance on research and licensed expertise",2,Licensed Professionals and Experts,Information from licensed professionals and specialists who provide expert knowledge in a specific area,17,42.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC2,40,100.00%,Professional and Academic Sources,"use of information from formal, evidence-based, and institutional sources. It reflects a reliance on research and licensed expertise",3,Public-Facing Media and Publications,"Information gathered from books, documentaries, podcasts, newsletters, and online magazines",36,90.00%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC2,40,100.00%,Professional and Academic Sources,"use of information from formal, evidence-based, and institutional sources. It reflects a reliance on research and licensed expertise",4,Hotlines / Peer-Support Services,"Real-time, person-to-person support resources that individuals or communities rely on when navigating psychedelic experiences",25,62.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC2,40,100.00%,Professional and Academic Sources,"use of information from formal, evidence-based, and institutional sources. It reflects a reliance on research and licensed expertise",5,Conferences and Training,"Knowledge acquired by attending formal seminars, symposiums, conferences, and structured training sessions",22,55.00%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC3,40,100.00%,Community and Peer Networks,"informal, grassroots methods of information sharing that occur directly between individuals and within organized local groups",1,Local Organizations and Gatherings,"Communities that rely on organized local groups, societies, and regular gatherings to provide support, resources, and shared knowledge to their members.",32,80.00%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC3,40,100.00%,Community and Peer Networks,"informal, grassroots methods of information sharing that occur directly between individuals and within organized local groups",2,Peer Circles & Support Groups,"Integration circles, recovery groups, veterans/military support, spirituality circles, plant parenthood circles, grief/deathcare circles",19,47.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC3,40,100.00%,Community and Peer Networks,"informal, grassroots methods of information sharing that occur directly between individuals and within organized local groups",3,Word of Mouth & Peer Chats,"Telegram groups, group chats, society leader chats, personal networks",13,32.50%,,,,,,,
Where do you and your community go for information about psychedelics?,40,Q21_PC3,40,100.00%,Community and Peer Networks,"informal, grassroots methods of information sharing that occur directly between individuals and within organized local groups",4,Community Knowledge & Collective Wisdom,"Lived experience sharing, grassroots documentation of neurodivergence and psychedelics, story-based collective learning",18,45.00%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC1,28,70.00%,Direct Service and On-Site Support,"tangible resources and immediate, in-person assistance that a community offers to mitigate harm",1,Substance Testing and Screening,"provision of tools or services for checking the purity, content, and dosage of substances",23,82.14%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC1,28,70.00%,Direct Service and On-Site Support,"tangible resources and immediate, in-person assistance that a community offers to mitigate harm",2,On-Site Peer Support,"presence of a dedicated, physical space and trained volunteers at events or festivals to help individuals navigate a difficult or overwhelming experience",16,57.14%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC1,28,70.00%,Direct Service and On-Site Support,"tangible resources and immediate, in-person assistance that a community offers to mitigate harm",3,Emergency Medical and First Aid,provision of emergency-related resources and training,6,21.43%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC2,40,100.00%,Educational Content and Information Dissemination,creation and distribution of informational materials aimed at educating the community on harm reduction principles,1,Manuals & Guides,"Harm reduction manuals, safe journeying guides, psychedelic awareness handbooks, facilitator evaluation guidelines",19,47.50%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC2,40,100.00%,Educational Content and Information Dissemination,creation and distribution of informational materials aimed at educating the community on harm reduction principles,2,Workshops and Presentations,holding structured educational events to teach best practices,25,62.50%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC2,40,100.00%,Educational Content and Information Dissemination,creation and distribution of informational materials aimed at educating the community on harm reduction principles,3,Online Media & Blogs,"Organization websites, blogs, newsletters, substack posts, online encyclopedias,Videos, YouTube content, webinars, digital courses, journalist engagement, public talks",35,87.50%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC3,39,97.50%,Peer-to-Peer and Community-Based Support,"relational and collective aspect of harm reduction, where support and knowledge are shared within a community framework. It highlights the importance of shared experience and mutual aid",1,Integration Circles and Peer Support Groups,"regular hosting of meetings or forums, both in-person and online, where members can process overwhelming experiences, share coping strategies, and provide support to one another.",30,76.92%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC3,39,97.50%,Peer-to-Peer and Community-Based Support,"relational and collective aspect of harm reduction, where support and knowledge are shared within a community framework. It highlights the importance of shared experience and mutual aid",2,Affinity/Community Groups,"Circles for neurodivergent concerns, recovery, or other specific populations",6,15.38%,,,,,,,
What psychedelic harm reduction information or resources does your community currently offer?,38,Q22_PC3,39,97.50%,Peer-to-Peer and Community-Based Support,"relational and collective aspect of harm reduction, where support and knowledge are shared within a community framework. It highlights the importance of shared experience and mutual aid",3,Networking and Referrals,"building a network of trusted resources and professionals, and then directing community members to external, specialized organizations and hotlines for additional support",28,71.79%,,,,,,,
